id	name	birth_date	sex	mother_name
ID_noise_000698	CAROLAIN CAPELO SOUSA	2002-10-06	F	SIME DAS NEVES CAPELO
ID_L_001432	RONIBERTO MAGALHAES	1966-07-12	M	VERUSCKA PIRES CARVALHO
ID_noise_000338	LINDRA DOMINGUES TEIXEIRA	2017-08-25	F	ISAELE CAPELO DOMINGUES
ID_noise_000672	CESLAU CASTRO NASCIMENTO	1917-01-09	M	VALCLERIA ORNELAS CASTRO
ID_noise_000441	OCINEIDE MOURA FARIAS	1947-12-10	F	ELEMARCIA PADILHA MOURA
ID_noise_000235	GERMI PINHEIRO	1967-08-01	M	FRANCICLAUDIA TEIXEIRA PINHEIRO
ID_noise_000032	EDIVANA ASSIS GALVAO	1979-01-24	F	ITANIA TORRES ASSIS
ID_noise_000823	CLAUDENILDE FERRARI SOUZA	1946-07-28	F	GREISIANE PEREIRA FERRARI
ID_noise_000644	FRANCISNEIA ALVES ALEGRIA	2003-09-21	F	DINALHA PEREIRA ALVES
ID_L_008678	CARMELIANA INFANTE SILVA	2013-06-24	F	KANE VEIGA INFANTE
ID_L_001639	JUCELHO PACHECO RIBEIRO	1944-07-15	M	USANA RAMOS PACHECO
ID_noise_000700	RONADIA RIBEIRO BAPTISTA	1996-06-18	F	ROSIMEIRA PARAISO PERALTA
ID_noise_000118	ENERALDO SANTOS DA MATA	2011-06-21	M	BENEDINA XAVIER SANTOS
ID_L_008473	DEAMIRO FARIAS MALDONADO SOUZA	1934-08-25	M	MARUCHA ESCOBAR BARRETO MALDONADO
ID_L_000629	ANICANOR ASSUNCAO	1985-08-28	M	SAIENE QUEIROZ ASSUNCAO
ID_L_002760	ALAISIO ESCOBAR DA ROSA	1934-03-09	M	SADILA DA LUZ ESCOBAR
ID_L_007456	ELIANILDO CORTES LANCASTRE	1980-04-21	M	EDUVIRGEM PARAISO CORTES
ID_noise_000932	EDNES GONCALVES VASCONCELOS SOUSA	1909-06-06	F	DENISI SUBTIL TAVEIRA VASCONCELOS
ID_noise_000594	EUBERTO CUSTODIO NOVAIS ESPINOSA	1914-06-02	M	LUZEMIRA FARIAS SANCHES NOVAIS
ID_L_000012	VANILIO DIAS PARIS	1911-08-16	M	MARICIANE LEIRIA DIAS
ID_noise_000508	ODILENO FERREIRA GASPAR	2011-08-02	M	IRAIDIS MOREIRA FERREIRA
ID_noise_000649	QUELITA CAMACHO SILVA	1969-08-24	F	DEICIANE SALES CAMACHO
ID_L_006445	GESSIVAL COSTA MACHADO	1946-10-26	M	GLACILEIDE FLORES COSTA
ID_noise_000715	ARCISIO GARCIA TAVARES	1979-06-01	M	LILIELE MODESTO GARCIA
ID_L_009763	ASTA VILELA	1938-03-21	F	WEMILY SILVA GOUVEIA
ID_noise_000165	JUCELIN AVILA DA PAZ	1920-06-28	M	ERIADNE PERALTA AVILA
ID_L_000284	JACEMIR DA PAZ OLIVEIRA	2001-09-04	M	ODINEIDE SOUZA DA PAZ
ID_L_008775	CINDIELE MESQUITA LIMA	1980-03-23	F	FRANCENILCE ASSIS MESQUITA
ID_L_001805	CHAENE GOULART CAMACHO	1935-05-21	F	FELIA HILARIO GOULART
ID_noise_000354	ROSITE TAVARES SILVA	1906-10-17	F	LOURIZAN CORDOBA TAVARES
ID_L_003613	ARIEDNE FARIAS VARELA	1978-02-01	F	SAIANE GIL FARIAS
ID_L_005774	JOCICLEUDO SILVA MOURA	1972-11-03	M	DINARA INFANTE SILVA
ID_noise_000597	TAICIR NEVES SOUZA	1973-05-08	M	NORMELI INFANTE NEVES
ID_L_002645	SILVERLANDIO CONCEICAO MODESTO	2008-03-17	M	SUZIA CAETANO CONCEICAO
ID_L_004108	MARDONIA RAMIRES IBRAHIM	2016-10-13	F	PRESENTINA PARAISO RAMIRES
ID_L_000001	ALCIONEIA CASTRO PIMENTA FLORES	2004-11-09	F	ROBERLENE BELEM LIMA PIMENTA
ID_noise_000307	ERICLENE BAPTISTA MORAIS	1967-12-10	F	ADIVINA MACIEL BAPTISTA
ID_noise_000586	DALMIR PEIXOTO ARRUDA DA ROSA	1973-12-17	M	NARUBIA PINHEIRO PILAR ARRUDA
ID_noise_000244	ISSA SOARES FARIAS	1902-12-12	M	DEUSENICE HILARIO SOARES
ID_L_009602	REUMA OLIVEIRA SOARES	1984-04-26	F	MARIADO JESUS OLIVEIRA
ID_L_003352	JACQUELINA MARQUES ANTUNES	1929-08-20	F	CICILIA TEIXEIRA MARQUES
ID_L_007670	ALDENILO SANTANA VARELA MESQUITA	1967-07-14	M	VIVIANI COSTA SILVA VARELA
ID_L_000558	VALDENIR ARAGAO OLIVEIRA OLIVEIRA	2005-12-04	M	SAVILA BOAVENTURA DINIS OLIVEIRA
ID_noise_000900	CLESSIUS VIEIRA CAVALCANTE AVILA	1998-12-25	M	VANDERLICI SANCHES RODRIGUES CAVALCANTE
ID_noise_000960	ELIEDES GUEDES GUEDES VIEIRA	1988-11-18	F	FLAVIA XAVIER VEIGA GUEDES
ID_noise_000887	ACLECIANE GUTERRES ESCOBAR NOVAES	1933-09-01	F	ELIJANIA CARVALHO SOUSA ESCOBAR
ID_L_007971	LUCLECIA CAMACHO ALBUQUERQUE	2018-02-16	F	ELCANA PORTO CAMACHO
ID_noise_000695	FRANCIELZA CAMPOS MARTINS BELCHIOR	1925-02-27	F	MELIDA FARIAS FURTADO MARTINS
ID_noise_000580	ORSINI SILVA DA CUNHA	1908-05-19	M	DULCENIRA OLIVEIRA SILVA
ID_L_003207	ELIANDSON ORNELAS CURADO	2006-02-10	M	TENILE JORDAO ORNELAS
ID_L_001643	BENOIT SOUSA ARAUJO	1908-09-19	M	ALCINIA CAMACHO SOUSA
ID_L_008247	CICILHA DA PAZ CONCEICAO	1905-12-11	F	TANARA MAGALHAES DA PAZ
ID_L_009087	MISLEIA MARTINS BARROS	2012-03-12	F	CARLICE ALMEIDA MARTINS
ID_L_005762	RAMILSO GOIS PIRES	2000-04-27	M	INAIDE BELEM GOIS
ID_L_005771	RUTILDE ANTUNES RODRIGUES	1973-10-17	F	CECILI RAMIRES ANTUNES
ID_L_005896	TEODORO GIL CALIXTO	1956-05-04	M	RENUSA IBRAHIM GIL
ID_L_001167	ALDEAN LANCASTRE ESTEVES	1973-12-28	M	JUCICLEIDE RIBEIRO LANCASTRE
ID_L_005031	JOSIMEIRI MOREIRA MORAES	1958-08-21	F	LORISVANIA MORAIS MOREIRA
ID_noise_000852	DJEMES IBRAHIM VIANA DANTAS	1976-08-05	M	HAVILLA LEIRIA ZAGANELLI VIANA
ID_L_004609	AMARA SOUZA GENTIL	2015-02-24	F	SOEMI ALVIM SOUZA
ID_L_006975	GETULINO GARCIA TORRES	1999-07-04	M	TABATA FERREIRA GARCIA
ID_L_005139	NATASKA AGOSTINHO MENEZES	1989-08-10	F	VALDENOURA GALVAO AGOSTINHO
ID_L_009363	OBEDE MONTEIRO PERES	2005-10-23	M	IONESIA ASSIS MONTEIRO
ID_noise_000224	ABDO VELOSO RIBEIRO	1933-07-20	M	NARIELLE ALVES VELOSO
ID_noise_000552	RAIDERSON BOTELHO CARVALHO	1968-10-12	M	GRACIVANE ARAUJO BOTELHO
ID_noise_000256	VEIBER PIMENTA MOURA	1990-12-10	M	GILBERLITA AGOSTINHO PIMENTA
ID_noise_000413	UZENIR MOREIRA SANTOS	1934-04-18	F	NORMILZA VEIGA MOREIRA
ID_noise_000506	ERMANDES GIL SOUZA	1956-09-10	M	ORIZETE MONTEIRO GIL
ID_L_008256	MALRIVAN SANTANA ALMADA	1973-08-17	M	NICOLLY GUTERRES SANTANA
ID_noise_000562	REGISLAN SILVA CORTES	2013-08-17	M	JOICIMAR MARTINS SILVA
ID_noise_000709	KIRK LIMA MAIA	1955-11-13	M	ISMAINE ARAUJO LIMA
ID_noise_000716	EDAISE SILVEIRA GONCALVES VARELA	1988-02-28	F	MOZARA CARVALHO CORDOBA GONCALVES
ID_noise_000161	KELLIANY SOUZA GONZAGA	1967-06-13	F	ALMELI RAMIRES SOUZA
ID_L_002143	RAMSES LOPES FARIAS	1970-04-20	M	IANA BEIRAMAR LOPES
ID_noise_000445	DOUGLAIR DAMASIO	1910-03-28	M	ISRAELITA BOAVENTURA RAMIRES
ID_L_002563	BERNADINA GOUVEIA GONZAGA	1994-03-25	F	JOSIRA BEIRAMAR GOUVEIA
ID_L_003696	JALMES BRITO NOGUEIRA DA CUNHA	1902-05-07	M	JOISSIANE MORAIS GUTERRES NOGUEIRA
ID_noise_000418	SILVANDRA SOARES BAPTISTA FERNANDES	1960-07-04	F	KELFANY QUARESMA NOGUEIRA BAPTISTA
ID_noise_000177	ARISTELINA MARTINS COUTINHO	2005-07-01	F	EUZEBIA MEDEIROS MARTINS
ID_L_004821	RANUNFO CAMPOS CHAVES	1996-08-08	M	ALMERICE DA CAMPOS
ID_noise_000257	MARINON VILELA MESQUITA	1946-03-08	M	LAURICEIA VILELA
ID_L_004283	LUESIA LESSA BERNARDES	1943-03-20	F	AURIDA GUTERRES LESSA
ID_L_000227	JAGUARE ANTUNES IBRAHIM	1929-11-18	M	CECILHA PEIXOTO ANTUNES
ID_L_005180	ROVANI ROCHA DA CUNHA	2006-08-14	M	ENDIE JAQUES ROCHA
ID_noise_000892	RENDSON DUARTE ILHA PORTELA	1962-09-09	M	ENIUZA ILHA MARQUES ILHA
ID_L_008625	MELL MALDONADO ESTEVES	1917-08-07	F	GENOVA QUARESMA MALDONADO
ID_L_004937	WANDERLAY ALVES ZAGALO	2009-01-03	M	STACE MARTINS ALVES
ID_noise_000280	LECIVAL LACERDA LEIRIA	2016-09-26	M	SOANI CORTES LACERDA
ID_L_003372	SENHORIA NOVAES JESUS	1910-03-16	F	LIDALVA NEVES NOVAES
ID_noise_000511	UBELINA PEIXOTO DA ROSA	1925-02-10	F	EDINE TRINDADE PEIXOTO
ID_noise_000558	LINKER GAMES DA LUZ	1931-08-08	F	MARINES SILVA GOMES
ID_L_004707	URSULINA BRITES NOBREGA	1986-07-12	F	MILVA VELOSO BRITES
ID_L_008118	INEDINA SALAZAR IBRAHIM	1953-04-20	F	RONALIA SALAZAR SALAZAR
ID_L_007621	CLEBERNILSON HILARIO MOURA	1944-12-04	M	LEOPOLDINA HILARIO
ID_noise_000926	PIERINA CAVALCANTI MELO	1957-07-15	F	ELZAMAR GERALDES CAVALCANTI
ID_noise_000859	BIRGIT MEDEIROS VEIGA	1959-08-23	F	GISANDRA PERES MEDEIROS
ID_L_008203	DARILDA SOUZA CARDOSO	1977-02-25	F	ISMAIANE ARAGAO SOUZA
ID_L_009907	JUMELICE NOVAIS BARROS	1986-09-17	F	EMERCI XISCO NOVAIS
ID_noise_000019	NIVIANE FERNANDES SOUSA	1985-07-09	F	FELINA VASQUES FERNANDES
ID_L_009723	JEKSON BARBOSA FREITAS	1911-12-18	M	KEITTE INFANTE BARBOSA
ID_noise_000392	GLICEA ALVES FREITAS PARAISO	1974-11-07	F	IMAIR FREITAS FELIX FREITAS
ID_noise_000461	ADIRLENE MARTINS XIMENES ZAGANELLI	1919-01-20	F	GARIELA PEIXOTO CAMILO XIMENES
ID_L_006302	CLIZEIDE AGOSTINHO SOUSA	1930-08-11	F	ADINAURA OURIQUE AGOSTINHO
ID_noise_000487	DORVA VILELA ROCHA	2012-04-11	F	VIRIDIANE SANCHES VILELA
ID_noise_000955	ANTONI OURIQUE SOUZA	1987-10-10	M	NAINE BELCHIOR OURIQUE
ID_L_006418	DARIALVA PERALTA CARVALHO	1993-08-16	F	GREISI ANDRADE PERALTA
ID_noise_000189	DINOVAN LEIRIA CUSTODIO	1961-11-20	M	MERACI SILVA LEIRIA
ID_noise_000937	EDIOBERTO CARVALHO CAMILO SILVEIRA	1922-09-05	M	RUBENILDA DA ROCHA REZENDE CAMILO
ID_L_007473	JOCIVANIA LEIRIA NASCIMENTO	2015-04-06	F	EDELWEISS LEIRIA
ID_L_004774	DAIA MORAIS RIBEIRO	2002-03-23	M	LOURA RODRIGUES MORAIS
ID_L_008660	GENARA CAPELO OURIQUE	1902-06-25	F	ROSERLANE GOMES CAPELO
ID_L_001158	DENIZARTE GONCALVES PEREIRA	1964-02-26	M	NASCIR SUBTIL GONCALVES
ID_noise_000647	LUDINARA CORDOBA SOUZA CALIXTO	1920-06-28	F	OCILANE DIAZ VIDAL SOUZA
ID_L_004123	ENILDETE SOUZA PAIVA	1946-04-12	F	JEMILE BELEM SOUZA
ID_noise_000153	TANATA LESSA ALENCASTRO	2008-09-18	F	MONIKELLY VIANA LESSA
ID_noise_000640	ZILANDRA GASPAR OURIQUE	1976-01-03	F	MARONILDE SOUZA GASPAR
ID_noise_000439	JOSICLEI ARAGAO LESSA	1958-07-22	F	EVANEUDA MARTINS ARAGAO
ID_noise_000056	ANEDINO CONCEICAO CAVALCANTE	2019-02-02	M	LORENICE DA COSTA CONCEICAO
ID_noise_000829	REDIVAL GUEDES MORAIS	1979-10-17	M	GIUSEPINA CONCEICAO GUEDES
ID_L_002237	CESARNILDO MORAIS CRESPO	1997-08-06	M	GRACINALVA VEIGA MORAIS
ID_noise_000600	SAID SILVA GARCIA	2015-03-27	F	VANESA MOREIRA SILVA
ID_noise_000786	AIDE DIAS DOMINGUES	1919-06-26	M	ARATUZA NEVES DIAS
ID_L_005729	MOSELIA SOUSA CAVALCANTE	1913-11-08	F	CLEUS CAETANO SOUSA
ID_L_000721	CONCETA DA MATA NOGUEIRA	2009-02-22	F	AGRA XAVIER DA MATA
ID_L_001592	DEUSNI DAMASIO SANTANA	1936-01-22	M	ETIANE QUARTEIRA DAMASIO
ID_noise_000725	SALMITO ORNELAS SOUZA	1984-05-11	M	ELIZABETT TAVARES ORNELAS
ID_noise_000320	ROSALIA MONTEIRO	1928-01-11	F	JOEMA PEREIRA MONTEIRO
ID_noise_000680	LUCICLEDE SANTOS OLIVEIRA	1957-02-24	M	ADONITA MELLO SANTOS
ID_noise_000871	VANDERLINO DOS REIS JESUS	1999-02-04	M	ELETRA RODRIGUES DOS REIS
ID_noise_000093	EDSONEI CARDOSO BERNARDES	2019-03-06	M	VANEIDA PEIXOTO CARDOSO
ID_noise_000669	CLEDIVALDO MEIRELES NEVES	1990-12-24	M	ORENITA SOUSA MEIRELES
ID_L_006403	GREGORIA VARGAS DAS NEVES	1985-03-27	F	JENIFA NUNES VARGAS
ID_L_007238	ANDERON CAPELO	1954-08-23	M	BLUNA ARAUJO CAPELO
ID_L_002815	ISTELITA ESPINOSA FERNANDES	1934-11-28	F	DULCINEIDE BOAVENTURA ESPINOSA
ID_noise_000666	VANCI ANTUNES MORAIS	1939-08-02	M	VALDERICE CORTE REAL ANTUNES
ID_L_008696	JANDINETE FIGUEIREDO	1987-09-19	F	ENECI SILVA FIGUEIREDO
ID_noise_000415	BRINALDO SALES MENDES PEIXOTO	1928-04-02	M	GERARDA HIPOLITO DA ROCHA MENDES
ID_noise_000350	ALZILEIA BOTELHO FRUTUOSO	1974-07-27	F	ESCOLASTICA BOTELHO
ID_L_004402	EZRA BOAVENTURA GUIMARAES	1904-11-02	M	JUCIMARE OURIQUE BOAVENTURA
ID_noise_000063	CLEVIO DOMINGUES XIMENES	1928-08-04	M	EDINELZA CALIXTO DOMINGUES
ID_L_005670	MARJURI SOUSA TAVEIRA	1912-05-10	F	NEIDIMAR SILVA SOUSA
ID_noise_000943	CLAUDINERE BAPTISTA	1901-04-06	F	FLORICIA BOAVENTURA BAPTISTA
ID_L_007327	DALVA LOPES TRINDADE	1999-04-09	F	JUSSIANE NEVES LOPES
ID_noise_000886	VALDENISIO ALENCASTRO DAMASIO PEREIRA	2011-09-06	M	GEOVANEA TAVARES VARELA DAMASIO
ID_noise_000974	ONERO TAVARES	1982-06-11	M	ANICLECIA SALES TAVARES
ID_L_000516	NARTA SILVA BITTENCOURT	1939-09-10	F	MILAGROS DAVILA SILVA
ID_L_004810	JORGINEIDE PEIXOTO PARAISO	1982-09-01	F	LONDINA SOUZA PEIXOTO
ID_noise_000931	ROBES QUARTEIRA GASPAR	1933-10-24	M	DERVANI RAMOS QUARTEIRA
ID_noise_000249	FRANSCINEIDE ANTUNES BARRETO	1939-01-11	F	ZARIF GOMES ANTUNES
ID_noise_000156	TANILDO MESQUITA DUARTE	2013-04-23	M	VIRLEIDE TEIXEIRA MESQUITA
ID_L_005929	LETIENE SOUZA SOUZA	1937-02-15	F	YASSMIN SOUZA SOUZA
ID_noise_000668	EDJANARA PEIXOTO CORTES	1936-07-01	F	AMIRIA ALMEIDA PEIXOTO
ID_noise_000087	GREGORIO MAIA GUEDES	1914-03-02	M	ALVERITA GARCIA MAIA
ID_L_003989	WISLANY GIL GOULART	1974-05-23	F	EDIRLANE BONFIM GIL
ID_noise_000340	KETUNY TAVARES AVILA MOURA	1932-02-03	F	DJALMA ASSUNCAO MOREIRA AVILA
ID_L_001683	JOVINETE CASTRO NUNES	1915-08-12	F	IMAR DA ROSA CASTRO
ID_L_000446	AGUIMAEL FLORES CUSTODIO	1989-06-06	M	FRANCETE ALEGRIA FLORES
ID_noise_000139	MIRLANI REBELO	1916-09-22	F	SIMONIQUE PIMENTA REBELO
ID_L_000437	CLAUDIMARIO CAMILO IBRAHIM	2003-09-20	M	NEVITA DAVILA CAMILO
ID_L_008894	LUDNEIA MOREIRA ASSIS	1908-06-10	F	ZANITA COSTA MOREIRA
ID_L_003994	ADESIA MARTINS CONCEICAO	1946-08-01	F	TAIRENE SOUSA MARTINS
ID_noise_000109	ALMEZINO BARROS JAQUES	1904-10-20	M	ZORAIDE BARROS BARROS
ID_L_008562	ELINORA CARVALHO SIQUEIRA	2003-05-14	F	ALEXSIANE ROCHA CARVALHO
ID_noise_000125	EDIVANILDO VARGAS GONCALVES	1922-06-21	M	ENICIA VARGAS VARGAS
ID_L_004989	DELCINA SANTOS MARQUES	1951-06-17	F	DANIVEA MELLO SANTOS
ID_L_001617	LUZENIR SALES MELLO MACIEL	1909-12-23	F	LEODIANE SOUSA PINHEIRO MELLO
ID_L_000160	VACILENE ALMADA PIMENTA	1993-11-07	F	WEDY APARICIO ALMADA
ID_noise_000016	WEMBERSOM SALGUEIRO BOTELHO HILARIO	1946-02-07	M	TANILDE AVILA BONFIM BOTELHO
ID_noise_000702	JANDEILTON COUTINHO CORTES	1939-12-15	M	DOMICILA ESTEVES COUTINHO
ID_L_001810	CLERICE SANCHES PAIVA	1994-01-26	F	ERIELE SALES SANCHES
ID_noise_000230	VALTERLUCIA ALENCASTRO SILVA	1948-10-01	F	MARUCIA MALDONADO ALENCASTRO
ID_noise_000532	AZENIR GARCIA APARICIO	2012-02-09	F	ELISBETE JAQUES GARCIA
ID_noise_000310	ACLECIANE BOAVENTURA BAPTISTA	1935-05-09	F	IRACILDES NUNES BOAVENTURA
ID_noise_000522	ESIAS SALGADO MORAES	1908-08-06	M	VERONDINA SALES SALGADO
ID_noise_000408	AGGEO SOUZA ALVES	1948-09-28	M	GLAUCIE MEIRELES SOUZA
ID_noise_000884	EITI BARROS SOUZA	1903-02-11	M	JORGETA GOIS BARROS
ID_L_002092	ERCELI ALMADA CAMILO	1932-09-01	F	DANIELLA CARVALHO ALMADA
ID_L_002646	JISSICA AZAMBUJA MENDES	1944-04-25	F	CARMELIZA CUSTODIO AZAMBUJA
ID_L_007767	GERLUCE GODINHO DA COSTA	1912-06-02	F	CARMELICIA NOGUEIRA GODINHO
ID_L_002514	VALDIANE DIAS NOGUEIRA	1909-02-07	F	LUCILARA GOUVEIA DIAS
ID_L_007518	JOSENEIDE XIMENES PERES	1937-09-14	F	ROSAMAR SILVA XIMENES
ID_noise_000024	RONIMARA SIQUEIRA CAVALCANTI SILVA	1920-07-13	F	REISIMAR BRITES QUEIROZ CAVALCANTI
ID_noise_000528	ARTEMISIO MODESTO CHAVES	1922-03-10	M	NARCILENE NELO MODESTO
ID_noise_000744	EDVANI TRINDADE SANTANA	1925-05-03	M	DINALRA VIEIRA TRINDADE
ID_noise_000324	AGNESE BEIRAMAR SILVA	1916-09-09	F	MAGLENE LANCASTRE BEIRAMAR
ID_L_000856	RENEA PINHEIRO GONCALVES	1918-05-25	F	MAUREEN ORNELAS PINHEIRO
ID_noise_000375	ANE TELES MENDES	1994-02-24	M	ITALITA ZAGANELLI TELES
ID_L_000733	QUITERIA DIAS ZAGALO	1934-02-04	F	CELIJANE SALAZAR DIAS
ID_noise_000483	JOCENILDO DINIS	1980-02-06	M	IVANARIA COUTINHO DINIS
ID_L_005940	ELIABI CHAVES XISCO JESUS	1964-01-04	M	SIRLEI DANTAS CHAVES XISCO
ID_noise_000164	BETIENE HILARIO DA ROCHA	1924-02-05	F	LEUNICE VEIGA HILARIO
ID_noise_000423	TERTULIANO PEREIRA SAMPAIO	1925-11-23	M	DANUZIA SALES PEREIRA
ID_noise_000107	JACAUNA TEIXEIRA ASSIS	1932-01-20	M	JESSONITA SOUZA TEIXEIRA
ID_L_007196	LAUCINETE ALENCASTRO FERREIRA DA MATA	1933-02-28	F	VANILA MOURA AGUIAR FERREIRA
ID_noise_000263	JAK NOBREGA GOMES CASTRO	1978-04-26	M	DORALICIA NOVAES HILARIO GOMES
ID_noise_000213	GLAURO RIBEIRO CASTRO	2013-08-25	M	ROSIMARCIA FELIX RIBEIRO
ID_L_001364	GABRIANE SOUSA	1940-02-11	F	ROSILEUDE FERRARI SOUSA
ID_noise_000633	ROSELENA VIDAL SOUZA	1977-05-02	F	HIROKO VELOSO VIDAL
ID_L_007272	ANTONILO DA ROCHA SILVA	1938-02-26	M	ERIVONEIDE MELO DA ROCHA
ID_noise_000175	ROSENO SALAZAR VELOSO	1979-02-25	M	UENIA GUIMARAES SALAZAR
ID_L_002529	IOVANE PACHECO FELIX SANCHES	1988-02-05	M	JUDINALVA SOUZA PEREIRA FELIX
ID_L_008980	WILLIMAS MARTINS SILVA	1995-06-26	M	ALDARA ALVES MARTINS
ID_L_000522	GRAZZIELE CHAVES ALVES	1931-08-19	F	CLEURISMAR GIL CHAVES
ID_noise_000098	LECILENE REZENDE SOUSA DOS REIS	1933-06-10	F	OSMARINE CONCEICAO MOREIRA SOUSA
ID_noise_000733	ADCELIA PAIVA CORTE REAL	1902-07-27	F	DEISIANE AMORIM PAIVA
ID_noise_000690	JOCIANA GASPAR FARIAS	1958-03-10	F	ANARLENE RAMOS GASPAR
ID_noise_000252	DARCILANE GOULART PEREIRA	1975-05-15	F	GIVANIA HERNANDES GOULART
ID_L_003315	JOICELAINE PEREIRA CAPELO	1983-02-03	F	TASSILA COUTINHO PEREIRA
ID_L_000390	RIUMA QUARTEIRA GONCALVES DA ROCHA	1921-09-04	M	NIRIVALDA CAPELO FERNANDES GONCALVES
ID_L_008764	LAURILENE SILVA FLORES	1990-02-26	F	ELZILENE DA CUNHA SILVA
ID_noise_000661	NEMES TELES RIBEIRO	2007-08-17	M	WANDERLEIDE LIMA TELES
